Titre,Titre2,Nom,Nom2,Avis,Note Générale,Équilibre vie professionnelle / personnelle,Salaire/Avantages sociaux,Sécurité de l'emploi/Évolution de carrière,Management,Culture d'entreprise
Analyste développeur Datastage - Cognos,Analyste développeur Datastage - Cognos - Lyon (69) - Indeed.fr,2s2i Solutions & Services.,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data Analyst Junior,Data Analyst Junior - Paris (75) - Indeed.fr,OuiCar,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data analyst (F/H),Data analyst (F/H) - Paris (75) - Indeed.fr,L'AgenceRP,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WEB ANALYST JUNIOR - STAGE (F/H),WEB ANALYST JUNIOR - STAGE (F/H) - Clichy (92) - Indeed.fr,Sarenza,Sarenza,20,"4,2","4,2","3,4","2,9","3,6","4,2"
Data Analyst/Data Scientist (H/F),Data Analyst/Data Scientist (H/F) - 69002 Lyon 2e - Indeed.fr,ADECCO PME,Adecco,14,"3,8","3,7","3,3","3,1","3,5","3,6"
CDI- Global Head of Clinical Data Management H/F,CDI- Global Head of Clinical Data Management H/F - Craponne (69) - Indeed.fr,bioMerieux,bioMerieux,355,"3,8","3,6","3,8","3,2","3,2","3,6"
Assistant analyste des données - Stage (H/F),Assistant analyste des données - Stage (H/F) - Paris (75) - Indeed.fr,La Mutuelle Générale,La Mutuelle Générale,19,"3,3","3,6","2,9","2,6","2,8","2,7"
Stage - support équipe Supply & Demand (F/H),Stage - support équipe Supply & Demand (F/H) - Craponne (69) - Indeed.fr,bioMerieux,bioMerieux,355,"3,8","3,6","3,8","3,2","3,2","3,6"
Data Analyst,Data Analyst - Paris (75) - Indeed.fr,La Relève,La Relève,3,"4,7","4,0","4,5","4,0","4,0","4,0"
Business Analyst - H/F,Business Analyst - H/F - Lyon (69) - Indeed.fr,Kenseo,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Analyste Data & Digital Media H/F,Analyste Data & Digital Media H/F - Paris (75) - Indeed.fr,Groupe Pierre & Vacances - Center Parcs,Groupe Pierre & Vacances - Center Parcs,58,"4,0","3,7","3,3","3,4","3,5","3,7"
Software Developer M/F,Software Developer M/F - Lyon (69) - Indeed.fr,Volvo Group,Volvo,2,"4,1","4,0","4,0","3,6","3,6","3,9"
Data Analyst / Data Visualisation Consultant (F/H),Data Analyst / Data Visualisation Consultant (F/H) - Paris (75) - Indeed.fr,Novencia,Novencia,5,"5,0","5,0","5,0","5,0","5,0","5,0"
Analyste Transaction Services secteur Industries F/H,Analyste Transaction Services secteur Industries F/H - Lyon 1er (69) - Indeed.fr,PricewaterhouseCoopers,PwC,6,"4,0","3,4","3,7","3,8","3,7","3,8"
Business Analyste H/F,Business Analyste H/F - Lyon (69) - Indeed.fr,HR Link France,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DATA SCIENTIST H/F,DATA SCIENTIST H/F - Levallois-Perret (92) - Indeed.fr,BNP Paribas Personal Finance,BNP Paribas Personal Finance,96,"4,0","4,0","3,9","3,6","3,6","3,8"
Développeur C# MVC .Net,Développeur C# MVC .Net - 69578 Limonest - Indeed.fr,LDLC,LDLC,7,"4,7","4,3","3,8","4,0","3,8","3,3"
Product Data Analyst - BI - H/F,Product Data Analyst - BI - H/F - Paris (75) - Indeed.fr,Cegid,CEGID,36,"3,4","3,6","3,2","2,9","3,1","3,3"
RESPONSABLE INFORMATIQUE (H/F),RESPONSABLE INFORMATIQUE (H/F) - Lyon (69) - Indeed.fr,Dimension RH,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Trading support analyst,Trading support analyst - Paris (75) - Indeed.fr,Radley James,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Analyste concepteur.NET/ SQL Server F/H,Analyste concepteur.NET/ SQL Server F/H - Lyon 3e (69) - Indeed.fr,NODYA GROUP,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data Analyst Digital Banking (H/F) en Stage,Data Analyst Digital Banking (H/F) en Stage - Rhône - Indeed.fr,Atos,ATOS,2,"3,6","3,6","3,3","3,2","3,2","3,4"
Développeur sur un centre de service Digital - Lyon H/F,Développeur sur un centre de service Digital - Lyon H/F - Lyon (69) - Indeed.fr,Viveris,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data Analyst / Data Visualisation Consultant (F/H),Data Analyst / Data Visualisation Consultant (F/H) - Paris (75) - Indeed.fr,Novencia,Novencia,5,"5,0","5,0","5,0","5,0","5,0","5,0"
Product Data Analyst - BI - H/F,Product Data Analyst - BI - H/F - Paris (75) - Indeed.fr,Cegid,CEGID,36,"3,4","3,6","3,2","2,9","3,1","3,3"
PRICING ANALYST H/F,PRICING ANALYST H/F - Lyon (69) - Indeed.fr,Fed IT,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Analyste développeur Datastage - Cognos,Analyste développeur Datastage - Cognos - Lyon (69) - Indeed.fr,2s2i Solutions & Services.,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
