Titre,Titre2,Nom,Nom2,Avis,Note Générale,Équilibre vie professionnelle / personnelle,Salaire/Avantages sociaux,Sécurité de l'emploi/Évolution de carrière,Management,Culture d'entreprise
DATA ANALYST JUNIOR,DATA ANALYST JUNIOR - PARIS (75) - INDEED.FR,OuiCar,,,,,,,,
DATA ANALYST (F/H),DATA ANALYST (F/H) - PARIS (75) - INDEED.FR,L'AgenceRP,,,,,,,,
WEB ANALYST JUNIOR - STAGE (F/H),WEB ANALYST JUNIOR - STAGE (F/H) - CLICHY (92) - INDEED.FR,Sarenza,Sarenza,20.0,"4,2","4,2","3,4","2,9","3,6","4,2"
DATA ANALYST/DATA SCIENTIST (H/F),DATA ANALYST/DATA SCIENTIST (H/F) - 69002 LYON 2E - INDEED.FR,ADECCO PME,Adecco,14.0,"3,8","3,7","3,3","3,1","3,5","3,6"
CDI- GLOBAL HEAD OF CLINICAL DATA MANAGEMENT H/F,CDI- GLOBAL HEAD OF CLINICAL DATA MANAGEMENT H/F - CRAPONNE (69) - INDEED.FR,bioMerieux,bioMerieux,355.0,"3,8","3,6","3,8","3,2","3,2","3,6"
ASSISTANT ANALYSTE DES DONNÉES - STAGE (H/F),ASSISTANT ANALYSTE DES DONNÉES - STAGE (H/F) - PARIS (75) - INDEED.FR,La Mutuelle Générale,La Mutuelle Générale,19.0,"3,3","3,6","2,9","2,6","2,8","2,7"
STAGE - SUPPORT ÉQUIPE SUPPLY & DEMAND (F/H),STAGE - SUPPORT ÉQUIPE SUPPLY & DEMAND (F/H) - CRAPONNE (69) - INDEED.FR,bioMerieux,bioMerieux,355.0,"3,8","3,6","3,8","3,2","3,2","3,6"
DATA ANALYST,DATA ANALYST - PARIS (75) - INDEED.FR,La Relève,La Relève,3.0,"4,7","4,0","4,5","4,0","4,0","4,0"
BUSINESS ANALYST - H/F,BUSINESS ANALYST - H/F - LYON (69) - INDEED.FR,Kenseo,,,,,,,,
SOFTWARE DEVELOPER M/F,SOFTWARE DEVELOPER M/F - LYON (69) - INDEED.FR,Volvo Group,Volvo,2.0,"4,1","4,0","4,0","3,6","3,6","3,9"
ANALYSTE TRANSACTION SERVICES SECTEUR INDUSTRIES F/H,ANALYSTE TRANSACTION SERVICES SECTEUR INDUSTRIES F/H - LYON 1ER (69) - INDEED.FR,PricewaterhouseCoopers,PwC,6.0,"4,0","3,4","3,7","3,8","3,7","3,8"
BUSINESS ANALYSTE H/F,BUSINESS ANALYSTE H/F - LYON (69) - INDEED.FR,HR Link France,,,,,,,,
